Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Highways Services - A2 CARRIAGEWAY STRUCTURAL RESURFACING,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£8,000,000",9 March 2022
Dynamic Purchasing System -The City of Liverpool College - Performing Arts & Creative Study Programmes,None,Opportunity,Open,L13 0BQ,"31 July 2024,  6pm","£650,000 to £3,000,000","28 June 2017, last edited  9 March 2022"
Highways Services - A1.5 CARRIAGEWAY AND FOOTWAY RETREAD PROCESS,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£1,000,000",3 March 2022
Highways Services - A1.4 CARRIAGEWAY MICRO ASPHALT HAND APPLIED PATCHING,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£600,000",3 March 2022
Highways Services - A1.3 SLURRY SEALING PROCESSES,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£1,000,000",3 March 2022
Highways Services - A1.3 SLURRY SEALING PROCESSES,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£1,000,000",3 March 2022
Highways Services - A1.2 MICRO ASPHALT PROCESSES,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£8,000,000",3 March 2022
Highways Services - A1.1 SURFACE DRESSING PROCESSES,None,Future opportunity,Open,England,Approach to market date1 January 2025,"£4,000,000",3 March 2022
Therapeutic Services for Children & Young People,None,Opportunity,Open,North East,"29 March 2024,  5pm",£0,3 March 2022
Mobile Nights,None,Future opportunity,Open,United Kingdom,Approach to market date1 March 2024,"£845,273",28 February 2022
TD1480 - Dynamic Purchasing System for the Supply and Disposal of Technology Enabled Care Products and Associated Services,None,Opportunity,Open,East Midlands,"24 February 2024, 10am","£0 to £978,000",25 February 2022
Early Help Alliance Project,None,Future opportunity,Open,United Kingdom,Approach to market date26 October 2026,"£3,325,000",22 February 2022
Management and Maintenance of Council owned residential units,None,Future opportunity,Open,United Kingdom,Approach to market date1 September 2026,"£229,700",15 February 2022
Early Intervention and Prevention & Carers (Adult and Young Carers),None,Future opportunity,Open,United Kingdom,Approach to market date1 May 2026,"£9,846,000",15 February 2022
Highways and Lighting Term Contract,None,Future opportunity,Open,England,Approach to market date1 January 2026,"£1 to £80,000,000",14 February 2022
Research Services DPS,None,Opportunity,Open,Yorkshire and the Humber,"13 July 2031, 11:59pm","£1,000,000",10 February 2022
Leicestershire Children and Families Services Gateway2Resources (G2R) - Supported Accommodation for Young People Aged 16+,None,Opportunity,Open,United Kingdom,"30 November 2030, 12pm","£166,000,000","21 August 2020, last edited 10 February 2022"
KMCAS-125 - Electronic Market Place for Supported Living Services,None,Opportunity,Open,Yorkshire and the Humber,"31 March 2032,  1pm","£0 to £70,000,000",2 February 2022
Shaw Trust Delivery Partner Dynamic Purchasing Service,None,Opportunity,Open,England,"29 May 2026,  5pm","£10,000 to £150,000","1 February 2022, last edited  1 February 2022"
Dynamic Purchasing System for Apprenticeships,None,Opportunity,Open,Yorkshire and the Humber,"31 January 2030, 11:59pm","£0 to £1,920,000",31 January 2022
"Employment, Skills and Economic Development Dynamic Purchasing System",None,Opportunity,Open,Yorkshire and the Humber,"1 August 2025, 12pm","£1 to £5,000,000",25 January 2022
Apprenticeship DPS (Dynamic Purchasing System),None,Opportunity,Open,Any region,"29 January 2024, 12am","£15,000,000","21 April 2020, last edited 18 January 2022"
LPS CARE - Flexible Agreement for the provision of Fostering Agency Placements - RFQ 15314114,None,Opportunity,Open,North West,"4 May 2031, 10am","£375,000,000 to £415,000,000",14 January 2022
Short Term hire of Vehicles - DPS,None,Opportunity,Open,England,"6 March 2028, 10am",£0,13 January 2022
Dynamic Purchasing System - Valuation Services (2022),None,Opportunity,Open,M22 9TA,"4 January 2026, 11:59pm",£0,"6 January 2022, last edited  7 January 2022"
Dynamic Purchasing System - Development Contractors (2022),None,Opportunity,Open,M22 9TA,"6 January 2026, 11:59pm",£0,"6 January 2022, last edited  7 January 2022"
My Life PDSP,None,Opportunity,Open,Yorkshire and the Humber,"8 April 2027, 11:30pm","£0 to £95,000,000",6 January 2022
Cheshire and Merseyside Suicide Bereavement and Postvention Service,None,Future opportunity,Open,United Kingdom,Approach to market date30 April 2025,"£609,000",6 January 2022
Wirral Infection Prevention and Control Service,None,Future opportunity,Open,United Kingdom,Approach to market date6 July 2026,"£2,450,000",5 January 2022
"Building Works, Supplies & Services including specialists and consultancy",None,Opportunity,Open,East of England,"15 October 2028,  2pm",£1,"21 September 2020, last edited 23 December 2021"
London and Quadrant Housing Trust - External Wall review - Fire Inspections & Remedials Dynamic Purchase System (DPS),None,Opportunity,Open,E15 4PH,"22 December 2031,  6pm",£0,22 December 2021
P0550 - OPEN Application To Join A Flexible Contracting Arrangement For The Provision Of Placements In Residential Children's Homes,None,Opportunity,Open,B4 7WB,"14 December 2024, 12pm",£0,"18 December 2018, last edited 21 December 2021"
Independent Alternative Provision re-opening September 2021,None,Opportunity,Open,PO19 1RQ,"28 February 2026,  6:11pm","£12,000,000 to £13,000,000","5 October 2021, last edited 20 December 2021"
Supply of Specialist Materials (EWNI) Dynamic Purchasing System,None,Opportunity,Open,WA2 0YL,"10 August 2026,  4pm","£1 to £250,000,000","10 August 2021, last edited 20 December 2021"
PURCON830 Invest East,None,Opportunity,Open,NR4 7TJ,"31 August 2026,  6pm",£0,"4 January 2019, last edited 16 December 2021"
"KNH-003 Dynamic purchase system for construction contractors , subcontractors and ancillary services",None,Opportunity,Open,Yorkshire and the Humber,"28 June 2024, 12pm","£70,000,000","14 June 2019, last edited  2 December 2021"
KMCFM-001 Construction Materials and Ancillary Products DPS,None,Opportunity,Open,Yorkshire and the Humber,"28 April 2031, 11:59pm","£11,300,000","9 April 2021, last edited 29 November 2021"
P0834 -1  Mentoring and Positive Activity Services - DPS,None,Opportunity,Open,B4 7DJ,"5 December 2026, 12pm",£0,24 November 2021
Magnox - HP3 Qualification - Cat 3: Health Physics Monitoring Resources (with Portable Metrology),None,Opportunity,Open,BS35 1RQ,"31 March 2029, 12am","£0 to £107,000,000",18 November 2021
Space Enabled and Geospacial Services,None,Opportunity,Open,United Kingdom,"8 September 2024, 11:59am","£216,000,000","10 September 2021, last edited 17 November 2021"
Building Cleaning Services,None,Opportunity,Open,"United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World","23 February 2024,  3pm","£112,000,000","28 February 2020, last edited 17 November 2021"
Contract Finder duplicate ad - Application for a Care Home Contract,None,Opportunity,Open,South West,"31 March 2024, 12pm","£0 to £355,000,000",10 November 2021
Highways Materials DPS,None,Opportunity,Open,Yorkshire and the Humber,"31 January 2032, 12pm","£120,000,000 to £121,000,000",5 November 2021
Care Leavers Accommodation,None,Future opportunity,Open,United Kingdom,Approach to market date10 January 2024,"£1,200,000",4 November 2021
External Coaching Framework,None,Opportunity,Open,North East,"23 September 2024, 12pm","£180,000","26 August 2020, last edited  1 November 2021"
Gauge job evaluation web software,None,Future opportunity,Open,United Kingdom,Approach to market date1 March 2024,"£30,000",21 October 2021
Waste Management DPS,None,Opportunity,Open,TS2 1QG,"22 October 2028, 12pm",£0,"17 September 2021, last edited  8 October 2021"
London and Quadrant Housing Trust - Marketing Suites and Signage Dynamic Purchasing System,None,Opportunity,Open,E15 4PH,"4 October 2031,  6pm",£0,5 October 2021
Dynamic Purchasing System for the Provision of Housing Adaptation Works,None,Opportunity,Open,DN1 3BU,"20 November 2026, 12pm","£0 to £3,500,000",5 October 2021
PAN2598 - Passenger Transport Services DPS,None,Opportunity,Open,England,"31 July 2027,  8pm","£22,416,400","6 September 2021, last edited 28 September 2021"
Family Time,None,Future opportunity,Open,United Kingdom,Approach to market date1 April 2024,"£1,050,000",27 September 2021
"London and Quadrant Housing Trust - Dryling, SFS, Screed and Windows Dynamic Purchase System (DPS)",None,Opportunity,Open,E15 4PH,"18 December 2024,  6pm",£0,"22 December 2020, last edited 27 September 2021"
Flexible Framework of Independent Fostering Providers,None,Opportunity,Open,England,"31 March 2026, 11:59pm","£1,000,000,000","24 September 2021, last edited 27 September 2021"
Tender for the provision of a DPS for Testing Services and Rescources,None,Opportunity,Open,M156BH,"9 September 2024, 12pm",£0,"12 September 2019, last edited 22 September 2021"
"London and Quadrant Housing Trust - Drylining, SFS, Screed and Windows Dynamic Purchase System (DPS)",None,Opportunity,Open,E15 4PH,"20 September 2025,  6pm",£0,20 September 2021
Dynamic Purchasing System for Small Infrastructure Delivery - 2021-2023,None,Opportunity,Open,WR5 2NP,"31 August 2024, 12am",£0,"23 July 2021, last edited 20 September 2021"
"YPO - 001087 Low Energy Lighting Systems to Include Internal, External and Emergency Lighting",None,Opportunity,Open,United Kingdom,"22 November 2025, 11:59pm","£10,000,000",17 September 2021
NHS National Pharmaceuticals Transition 2024_2,None,Future opportunity,Open,WA7 2ES,Approach to market date1 June 2024,"£45,000,000",13 September 2021
MoJ Minor Works Dynamic Purchasing System,None,Opportunity,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales","7 September 2029, 11:59pm","£590,000,000",10 September 2021
YPO - Utilities Invoice Validation and Energy Management Service - 1033,None,Future opportunity,Open,England,Approach to market date29 February 2024,"£40,736 to £66,268",9 September 2021
Apprenticeship Training Providers,None,Opportunity,Open,United Kingdom,"10 September 2025, 11:59pm","£0 to £3,600,000",7 September 2021
T1-5622-ISHA-DPS-Services,None,Opportunity,Open,South East,"1 September 2031, 12pm",£0,3 September 2021
Provision of Cleaning Services,None,Future opportunity,Open,England,Approach to market date1 January 2024,"£4,500,000",2 September 2021
T1-5936-Sage-DPS-Defects,None,Opportunity,Open,"North East, Yorkshire and the Humber, North West, East Midlands, West Midlands, East of England, South East, South West, London","24 August 2026, 12pm",£0,24 August 2021
"London and Quadrant Housing Trust - Groundwork, RC Frame, External Works and Piling - Dynamic Purchasing System (DPS)",None,Opportunity,Open,E15 4PH,"18 August 2031,  6pm",£0,18 August 2021
Local HealthWatch Service,None,Future opportunity,Open,United Kingdom,Approach to market date4 January 2028,"£1,692,036","11 August 2021, last edited 13 August 2021"
Wirral Stop Smoking Service,None,Future opportunity,Open,United Kingdom,Approach to market date1 September 2027,"£4,879,000",10 August 2021
Children and Young People Continuing Healthcare,None,Opportunity,Open,East of England,"31 October 2026,  5pm",£0 to £1,6 August 2021
NHS Continuing Healthcare Services for Norfolk and Waveney,None,Opportunity,Open,East of England,"31 October 2024,  5pm",£0 to £1,6 August 2021
Public Health England - Weight Management Services,None,Opportunity,Open,SE1 8UG,"28 June 2024, 12pm","£15,000,000 to £30,379,636.84","6 July 2021, last edited  2 August 2021"
Ethnic Minority Health Improvement and Inequalities Programme,None,Future opportunity,Open,United Kingdom,Approach to market date1 October 2025,"£262,625",30 July 2021
Cat 1 - Software and Licencing,None,Opportunity,Open,WA3 6AE,"21 July 2025,  4pm","£0 to £23,500,000",22 July 2021
London and Quadrant Housing Trust - Sales Agents Dynamic Purchasing System,None,Opportunity,Open,E15 4PH,"22 July 2025,  6pm",£0,"22 July 2021, last edited 22 July 2021"
HCI (Dell VxRail) Capacity Extension Provision and Management,None,Future opportunity,Open,England,Approach to market date1 January 2024,"£400,000 to £450,000",21 July 2021
"Responsive Repairs, Voids and Associated Works (E,W&NI) Dynamic Purchasing System",None,Opportunity,Open,WA2 0YL,"14 May 2025,  5pm","£1 to £980,000,000","20 May 2020, last edited 16 July 2021"
Local Bus and Shared Taxi & Demand Responsive Services DPS,None,Opportunity,Open,MK9 3EJ,"13 June 2025, 11:59pm","£0 to £15,000,000","7 April 2021, last edited  6 July 2021"
A567 Bridgeall Libraries - CollectionHQ,None,Future opportunity,Open,England,Approach to market date29 December 2023,"£33,372",5 July 2021
Energy Efficient Retrofit Installers (CPU4591),None,Opportunity,Open,United Kingdom,"15 April 2025, 12pm",£0,"18 March 2021, last edited 28 June 2021"
LPS CAS - Provision of Local Bus Services and School Bus Servics in Lancashire,None,Opportunity,Open,North West,"29 December 2029,  1am","£140,000,000",21 June 2021
Dynamic Purchasing System for Intervention Services in Worcestershire,None,Opportunity,Open,WR5 2NP,"17 January 2024, 12am",£0,"10 July 2019, last edited 15 June 2021"
T1-5622-ISHA-DPS-Repairs,None,Opportunity,Open,South East,"30 May 2031, 12pm",£0,10 June 2021
East Forest District Ground Preparation Works,None,Opportunity,Open,Any region,"8 June 2029, 12pm","£1,680,000",8 June 2021
Dynamic Purchasing System for Retrofit Programme Delivery Services,None,Opportunity,Open,North West,"31 May 2026,  5pm","£1 to £207,500,000",2 June 2021
Passenger Transport - Dynamic Purchasing System,None,Opportunity,Open,South West,"30 April 2025, 11:59pm","£20,000,000",24 May 2021
